loss,accuracy,recall,precision,f1-score
0.9762925,0.8407547,0.81766057,0.8508353,0.8339181394398625
1.0725828,0.83345914,0.81880736,0.8197474,0.8192770764920859
1.0905346,0.838239,0.8165138,0.82502896,0.820749310753129
1.1256222,0.84654087,0.78899086,0.84210527,0.8146832632011679
1.072981,0.8445283,0.8119266,0.8349057,0.82325585410684
1.0819339,0.83496857,0.8107798,0.82883936,0.8197101573275467
0.96419597,0.84578615,0.83600914,0.84083045,0.8384128638609333
1.0310299,0.85257864,0.8142202,0.8462455,0.8299240229458705
0.9763393,0.8561006,0.82683486,0.84624416,0.8364269238003306
1.0416129,0.85207546,0.83027524,0.8341014,0.8321839103888986
1.0787596,0.85333335,0.8027523,0.84033614,0.8211143857733738
0.99124986,0.8555975,0.8417431,0.8398169,0.840778916563231
1.0859548,0.843522,0.8233945,0.8233945,0.8233944773674011
0.97860277,0.8636478,0.8084862,0.86080587,0.8338261341289492
0.85286784,0.86490566,0.86009175,0.863061,0.8615738200886803
0.92173314,0.8510692,0.8520642,0.8367117,0.8443181645722427
0.9757084,0.8681761,0.81766057,0.86529124,0.8408018857261891
1.0707722,0.8493082,0.8222477,0.8289017,0.8255612884228528
0.9975541,0.8535849,0.8451835,0.8290214,0.837024461600349
1.0303311,0.85408807,0.81995416,0.84216726,0.8309122762124428
0.9986049,0.86968553,0.82568806,0.8490566,0.8372093262499649
0.90104705,0.8691824,0.8486239,0.8564815,0.8525346068638854
0.93767875,0.8608805,0.8463303,0.84730196,0.8468158437960108
0.9224154,0.8628931,0.8451835,0.85005766,0.8476135396935679
0.9481191,0.8613837,0.81995416,0.85834336,0.8387097044554775
1.1313946,0.85232705,0.82912844,0.8105381,0.8197278912502456
0.960289,0.8555975,0.8405963,0.84447,0.8425287186527743
0.88983184,0.86943394,0.83715594,0.86595494,0.8513119166688268
1.0256891,0.86591196,0.809633,0.8495788,0.8291250269839124
0.92793334,0.8699371,0.83715594,0.85882354,0.8478513268562344
0.87950784,0.87069184,0.85091746,0.8607889,0.8558246760693724
1.0061044,0.8749685,0.8337156,0.84534883,0.8394918967761071
1.0997611,0.8636478,0.8233945,0.8215103,0.822451287241627
0.9105574,0.881761,0.8451835,0.8609813,0.853009221035431
0.9291138,0.88880503,0.8165138,0.872549,0.8436018637587361
